,participant.code,decision_tuple,payoff_tuple,timeout_tuple,player.prolific_id,player.id_in_group,group.delta_value,opponent,group.id_in_subsession,session.code,group.game_payoff_betray,group.game_payoff_betrayed,group.game_payoff_both_defect,group.game_payoff_cooperate_cooperate
2188,7pyxjf1g,"[[0, 0], [0, 1], [0, 1], [0, 1], [0, 0], [0, 1], [0, 0]]","[[14.0, 14.0], [19.0, 3.0], [19.0, 3.0], [19.0, 3.0], [14.0, 14.0], [19.0, 3.0], [14.0, 14.0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]",613758e7a80409ba7f5affb6,1,0.75,jgfpltj3,82,hmde64sz,19.0,3.0,14.0,17.0
2189,7q6gnhsi,"[[1, 1], [1, 0], [0, 1]]","[[18.0, 18.0], [7.0, 25.0], [25.0, 7.0]]","[[0, 0], [0, 0], [0, 0]]",678901eed7cd2458e8442042,1,0.65,2qcgskvu,76,hiqqrpb3,25.0,7.0,16.0,18.0
2190,7q81yvby,"[[0, 0], [0, 0], [1, 0], [1, 0]]","[[7.0, 7.0], [7.0, 7.0], [1.0, 21.0], [1.0, 21.0]]","[[1, 1], [0, 1], [0, 1], [0, 1]]",677d8fee8ff1be6635409dc0,2,0.55,aqiqkfub,42,aq5armaw,21.0,1.0,7.0,17.0
2191,7qd4i6zn,"[[0, 0], [0, 0], [0, 0], [0, 0]]","[[10.0, 10.0], [10.0, 10.0], [10.0, 10.0], [10.0, 10.0]]","[[0, 0], [0, 0], [0, 0], [0, 0]]",5cae3d6b6f6415001d3ac9a6,2,0.85,vz7tbkkj,86,rt1ziah7,20.0,4.0,10.0,17.0
2192,7qi38256,"[[1, 1]]","[[19.0, 19.0]]","[[1, 0]]",673d103517bf88e3930af829,2,0.55,x70xdl9a,64,9704j2nm,20.0,9.0,13.0,19.0
2193,7qmhm3f7,"[[0, 1], [1, 1]]","[[25.0, 7.0], [19.0, 19.0]]","[[0, 0], [0, 0]]",67c85dbbbfcee2fe6ee37f70,1,0.65,vylw8ydx,82,ohgk2z8v,25.0,7.0,11.0,19.0
2194,7qnm72hf,"[[0, 1], [0, 1], [0, 0], [0, 0]]","[[25.0, 3.0], [25.0, 3.0], [15.0, 15.0], [15.0, 15.0]]","[[0, 0], [0, 0], [0, 0], [0, 0]]",66954eb024a4cac04db35d5a,1,0.6,ggze0mcd,78,hiqqrpb3,25.0,3.0,15.0,22.0
2195,7qnprxes,"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1]]","[[21.0, 21.0], [21.0, 21.0], [21.0, 21.0], [21.0, 21.0], [21.0, 21.0], [21.0, 21.0], [21.0, 21.0], [21.0, 21.0], [21.0, 21.0], [21.0, 21.0], [21.0, 21.0], [21.0, 21.0], [21.0, 21.0], [21.0, 21.0], [21.0, 21.0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]",683855aa574ef91c431f2a39,1,0.95,gj7ok4il,88,mhrqxct8,22.0,4.0,17.0,21.0
2196,7qobr3si,"[[0, 0], [1, 0], [1, 0], [1, 0], [0, 1]]","[[10.0, 10.0], [3.0, 22.0], [3.0, 22.0], [3.0, 22.0], [22.0, 3.0]]","[[0, 0], [0, 1], [0, 1], [0, 1], [0, 1]]",5f639c21192b540a86e6e559,2,0.55,zheehw6t,77,rjcbwvo9,22.0,3.0,10.0,14.0
2197,7qx73xrh,"[[1, 1], [1, 1], [0, 0], [1, 0]]","[[20.0, 20.0], [20.0, 20.0], [19.0, 19.0], [3.0, 24.0]]","[[0, 0], [0, 0], [0, 0], [0, 0]]",66af82fe7c33867b3ed6efcb,1,0.85,55rl19sq,100,j4g2khn4,24.0,3.0,19.0,20.0
2198,7qxcqvsr,"[[1, 0], [1, 0]]","[[6.0, 24.0], [6.0, 24.0]]","[[0, 0], [0, 0]]",6745ca7b8cec58c074b9613f,1,0.8,jwygqy6b,86,c5xdmvwz,24.0,6.0,19.0,21.0
