,participant.code,round_number,group.delta_value,group.game_payoff_betray,group.game_payoff_betrayed,group.game_payoff_both_defect,group.game_payoff_cooperate_cooperate,group.id_in_subsession,group.match_duration,player.base_payment_cents,player.bonus_payment_cents,player.bonus_round,player.decision,player.id_in_group,player.payoff,player.prolific_id,player.timeout_occurred,player.total_payment_cents,subsession.round_number,participant.id_in_session,session.code,opponent
28200,lxkmiyq2,2,0.65,20.0,14.0,16.0,18.0,81,2.0,100,14,2,Cooperate,2,14.0,67d2932dfc2f62db2ec30d12,0,114,2,160,tuf4a7eb,r6nnpp75
28201,m1eipje2,1,0.75,19.0,4.0,13.0,18.0,56,3.0,0,0,0,Cooperate,2,4.0,614e1c414dff2e589169f360,0,0,1,110,tuf4a7eb,7plzpjmz
28202,m1eipje2,2,0.75,19.0,4.0,13.0,18.0,56,3.0,0,0,0,Cooperate,2,4.0,614e1c414dff2e589169f360,0,0,2,110,tuf4a7eb,7plzpjmz
28203,m1eipje2,3,0.75,19.0,4.0,13.0,18.0,56,3.0,100,19,3,Defect,2,19.0,614e1c414dff2e589169f360,0,119,3,110,tuf4a7eb,7plzpjmz
28204,m23t2ss4,1,0.6,18.0,2.0,8.0,12.0,83,1.0,100,2,1,Cooperate,1,2.0,67582af9c712b035099400d6,0,102,1,164,tuf4a7eb,ri699uly
28205,m2jaom5l,1,0.6,20.0,3.0,6.0,17.0,41,2.0,0,0,0,Defect,1,20.0,67307efa18110417bb86b8c6,0,0,1,79,tuf4a7eb,9r4nryhd
28206,m2jaom5l,2,0.6,20.0,3.0,6.0,17.0,41,2.0,100,20,2,Defect,1,20.0,67307efa18110417bb86b8c6,0,120,2,79,tuf4a7eb,9r4nryhd
28207,m3yogdvv,1,0.9,25.0,1.0,8.0,21.0,58,18.0,0,0,0,Cooperate,2,21.0,61695de0da820cd0b0e7106e,0,0,1,114,tuf4a7eb,fa6c3z6h
28208,m3yogdvv,2,0.9,25.0,1.0,8.0,21.0,58,18.0,0,0,0,Cooperate,2,21.0,61695de0da820cd0b0e7106e,0,0,2,114,tuf4a7eb,fa6c3z6h
28209,m3yogdvv,3,0.9,25.0,1.0,8.0,21.0,58,18.0,0,0,0,Cooperate,2,21.0,61695de0da820cd0b0e7106e,0,0,3,114,tuf4a7eb,fa6c3z6h
28210,m3yogdvv,4,0.9,25.0,1.0,8.0,21.0,58,18.0,0,0,0,Cooperate,2,21.0,61695de0da820cd0b0e7106e,0,0,4,114,tuf4a7eb,fa6c3z6h
28211,m3yogdvv,5,0.9,25.0,1.0,8.0,21.0,58,18.0,0,0,0,Cooperate,2,21.0,61695de0da820cd0b0e7106e,0,0,5,114,tuf4a7eb,fa6c3z6h
28212,m3yogdvv,6,0.9,25.0,1.0,8.0,21.0,58,18.0,0,0,0,Cooperate,2,21.0,61695de0da820cd0b0e7106e,0,0,6,114,tuf4a7eb,fa6c3z6h
28213,m3yogdvv,7,0.9,25.0,1.0,8.0,21.0,58,18.0,0,0,0,Cooperate,2,21.0,61695de0da820cd0b0e7106e,0,0,7,114,tuf4a7eb,fa6c3z6h
