id,session,inter,g,l,delta,delta_rd,num_rounds
6,1,8,2.5714286,1.8571429,0.5,-0.3157894761080332,1
6,1,9,2.5714286,1.8571429,0.5,-0.3157894761080332,1
6,1,10,2.5714286,1.8571429,0.5,-0.3157894761080332,3
6,1,11,2.5714286,1.8571429,0.5,-0.3157894761080332,1
6,1,12,2.5714286,1.8571429,0.5,-0.3157894761080332,3
6,1,13,2.5714286,1.8571429,0.5,-0.3157894761080332,1
6,1,14,2.5714286,1.8571429,0.5,-0.3157894761080332,3
6,1,15,2.5714286,1.8571429,0.5,-0.3157894761080332,1
6,1,16,2.5714286,1.8571429,0.5,-0.3157894761080332,2
6,1,17,2.5714286,1.8571429,0.5,-0.3157894761080332,1
6,1,18,2.5714286,1.8571429,0.5,-0.3157894761080332,3
6,1,19,2.5714286,1.8571429,0.5,-0.3157894761080332,4
6,1,20,2.5714286,1.8571429,0.5,-0.3157894761080332,2
6,1,21,2.5714286,1.8571429,0.5,-0.3157894761080332,1
6,1,22,2.5714286,1.8571429,0.5,-0.3157894761080332,1
6,1,23,2.5714286,1.8571429,0.5,-0.3157894761080332,1
6,1,24,2.5714286,1.8571429,0.5,-0.3157894761080332,1
6,1,25,2.5714286,1.8571429,0.5,-0.3157894761080332,4
6,1,26,2.5714286,1.8571429,0.5,-0.3157894761080332,1
6,1,27,2.5714286,1.8571429,0.5,-0.3157894761080332,1
6,1,28,2.5714286,1.8571429,0.5,-0.3157894761080332,1
6,1,29,2.5714286,1.8571429,0.5,-0.3157894761080332,2
6,1,30,2.5714286,1.8571429,0.5,-0.3157894761080332,1
6,1,31,2.5714286,1.8571429,0.5,-0.3157894761080332,5
6,1,32,2.5714286,1.8571429,0.5,-0.3157894761080332,1
6,1,33,2.5714286,1.8571429,0.5,-0.3157894761080332,1
6,1,34,2.5714286,1.8571429,0.5,-0.3157894761080332,1
6,1,35,2.5714286,1.8571429,0.5,-0.3157894761080332,3
6,1,36,2.5714286,1.8571429,0.5,-0.3157894761080332,3
6,1,37,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,1,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,2,2.5714286,1.8571429,0.5,-0.3157894761080332,2
7,1,3,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,4,2.5714286,1.8571429,0.5,-0.3157894761080332,4
7,1,5,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,6,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,7,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,8,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,9,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,10,2.5714286,1.8571429,0.5,-0.3157894761080332,3
7,1,11,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,12,2.5714286,1.8571429,0.5,-0.3157894761080332,3
7,1,13,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,14,2.5714286,1.8571429,0.5,-0.3157894761080332,3
7,1,15,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,16,2.5714286,1.8571429,0.5,-0.3157894761080332,2
7,1,17,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,18,2.5714286,1.8571429,0.5,-0.3157894761080332,3
7,1,19,2.5714286,1.8571429,0.5,-0.3157894761080332,4
7,1,20,2.5714286,1.8571429,0.5,-0.3157894761080332,2
7,1,21,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,22,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,23,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,24,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,25,2.5714286,1.8571429,0.5,-0.3157894761080332,4
7,1,26,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,27,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,28,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,29,2.5714286,1.8571429,0.5,-0.3157894761080332,2
7,1,30,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,31,2.5714286,1.8571429,0.5,-0.3157894761080332,5
7,1,32,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,33,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,34,2.5714286,1.8571429,0.5,-0.3157894761080332,1
7,1,35,2.5714286,1.8571429,0.5,-0.3157894761080332,3
7,1,36,2.5714286,1.8571429,0.5,-0.3157894761080332,3
7,1,37,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,1,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,2,2.5714286,1.8571429,0.5,-0.3157894761080332,2
8,1,3,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,4,2.5714286,1.8571429,0.5,-0.3157894761080332,4
8,1,5,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,6,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,7,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,8,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,9,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,10,2.5714286,1.8571429,0.5,-0.3157894761080332,3
8,1,11,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,12,2.5714286,1.8571429,0.5,-0.3157894761080332,3
8,1,13,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,14,2.5714286,1.8571429,0.5,-0.3157894761080332,3
8,1,15,2.5714286,1.8571429,0.5,-0.3157894761080332,1
8,1,16,2.5714286,1.8571429,0.5,-0.3157894761080332,2
8,1,17,2.5714286,1.8571429,0.5,-0.3157894761080332,1
